index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
1888,-2.1200000,2.0200000,1.3000000,-0.0703000,0.0410000,1.2348000,-0.3818210,-1.3450489,0.6883309,-0.0049627,0.0161886,0.9799715,0
1889,-2.6700000,1.7100000,0.3800000,0.0742000,0.1147000,0.6005000,-0.4621408,-1.4627777,0.7301482,-0.0121988,0.0156229,1.0047253,0
1890,2.5100000,-2.7900000,-0.0300000,0.0537000,0.0009000,0.6323000,-0.5759413,-1.3675524,0.7390816,-0.0132127,0.0194536,1.0015060,0
1891,2.1400000,-6.2100000,0.6300000,-0.0859000,-0.0590000,1.2719000,-0.5124858,-1.3990596,0.7045173,-0.0108796,0.0215025,0.9819883,0
1892,0.1900000,-1.1500000,0.8700000,-0.1235000,-0.0302000,1.4272000,-0.2904368,-1.6354393,0.6679282,-0.0133614,0.0181308,0.9830339,0
1893,-1.3300000,3.1200000,0.3800000,-0.0014000,0.0864000,0.8842000,-0.1007944,-1.7639107,0.6460340,-0.0205936,0.0138492,1.0053616,0
1894,1.2800000,-0.6600000,-0.7000000,0.0781000,0.0512000,0.5307000,0.0050311,-1.6156357,0.5987715,-0.0245456,0.0138828,1.0137540,0
1895,3.9700000,-5.1700000,-0.5200000,-0.0083000,-0.0668000,0.9565000,0.1769317,-1.4584306,0.4894299,-0.0221662,0.0152392,0.9959821,0
1896,1.2800000,-3.8900000,0.5100000,-0.1171000,-0.0717000,1.4267000,0.4838423,-1.5394874,0.3552833,-0.0199761,0.0117901,0.9823040,0
1897,0.0000000,2.4500000,0.9900000,-0.0883000,0.0395000,1.2695000,0.7729555,-1.6786764,0.2706313,-0.0236104,0.0052026,0.9966312,0
1898,-1.3900000,2.5100000,0.0200000,0.0283000,0.0864000,0.6528000,0.8940754,-1.5623981,0.2450081,-0.0293746,0.0024416,1.0185121,0
1899,2.1400000,-2.9200000,-0.6400000,0.0419000,-0.0336000,0.5878000,0.8870783,-1.2709307,0.2167247,-0.0305069,0.0040636,1.0142465,0
1900,3.1800000,-4.4400000,0.3800000,-0.0913000,-0.1127000,1.2104000,0.9332346,-1.1379471,0.1635016,-0.0283646,0.0028996,0.9910622,0
1901,0.8000000,-1.3900000,1.4200000,-0.1264000,-0.0537000,1.4130000,1.0746424,-1.2261422,0.1471606,-0.0300763,-0.0043599,0.9853781,0
1902,0.4300000,2.0200000,1.1200000,-0.0034000,0.0742000,1.0175000,1.1836391,-1.2886396,0.2120201,-0.0357369,-0.0115957,1.0040730,0
1903,-0.9600000,0.1900000,-0.1500000,0.0712000,-0.0073000,0.5058000,1.1725169,-1.1681648,0.3070782,-0.0377417,-0.0135496,1.0148081,0
