cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.644761419200192,1.4075170985757046,100.00500000000301,2.1061980589269784,0.2,0.12,15.0,400.0,12.5,1,0.55,200.0
3.6451153904612745,1.3911565306958265,100.00500000000301,2.153953885044008,0.35,0.18,15.0,600.0,12.5,1,0.55,200.0
3.645348091051726,1.376937299662793,100.00500000000301,2.195245118253965,0.2,0.18,40.0,600.0,12.5,1,0.55,200.0
3.6454495801125666,1.3831427521775612,100.00500000000301,2.177805222671315,0.2,0.12,15.0,600.0,12.5,1,0.55,200.0
3.6455121897802045,1.4119788307486367,100.00500000000301,2.095595311518637,0.35,0.18,40.0,600.0,25.0,1,0.35,200.0
3.6459324197897667,1.367944249784502,100.00500000000301,2.2226090571577695,0.2,0.35,40.0,600.0,12.5,1,0.55,150.0
3.64627720872588,1.3788816480816166,100.00500000000301,2.1923444589834813,0.35,0.35,40.0,600.0,25.0,1,0.55,150.0
3.646291864603901,1.3831819959710214,100.00500000000301,2.180099624665241,0.2,0.18,25.0,400.0,25.0,1,0.55,150.0
3.6469986777601626,1.4066289132433096,100.00500000000301,2.1151278986194506,0.1,0.18,15.0,300.0,25.0,1,0.55,150.0
3.6470307120945393,1.4015348388478663,100.00500000000301,2.129773923561793,0.2,0.18,40.0,400.0,25.0,1,0.55,200.0
3.6471700657501893,1.4520272213214218,100.00500000000301,1.9859081269392067,0.35,0.35,15.0,300.0,12.5,1,0.55,200.0
3.647190746143812,1.3828507900653435,100.00500000000301,2.1836141602240673,0.2,0.18,40.0,400.0,12.5,1,0.55,150.0
3.6473810277537173,1.424834016923158,100.00500000000301,2.0642057452300415,0.2,0.12,15.0,600.0,25.0,1,0.55,350.0
3.647459449988496,1.396265409260874,100.00500000000301,2.146054402078791,0.35,0.12,25.0,600.0,25.0,1,0.35,150.0
3.647673677060186,1.3870525460785288,100.00500000000301,2.172988945661748,0.1,0.18,25.0,400.0,12.5,1,0.55,150.0
3.6477849233116215,1.3951502013289814,100.00500000000301,2.1501706342359865,0.35,0.12,40.0,600.0,12.5,1,0.35,150.0
3.648047680422276,1.4124448956444038,100.00500000000301,2.1015079565080765,0.2,0.12,40.0,600.0,12.5,1,0.35,200.0
3.648100757239834,1.4146969097230375,100.00500000000301,2.09522527861929,0.2,0.12,25.0,600.0,25.0,1,0.35,200.0
3.648122002266784,1.3832258751643718,100.00500000000301,2.185203220292478,0.1,0.18,15.0,600.0,25.0,1,0.55,200.0
3.648509315928557,1.4027305537425667,100.00500000000301,2.13058217767413,0.2,0.18,25.0,300.0,25.0,1,0.55,150.0
3.6487147544818557,1.3689714042201897,100.00500000000301,2.2276238578903453,0.2,0.35,40.0,600.0,25.0,1,0.55,150.0
3.6487824468310426,1.4016348158196161,100.00500000000301,2.13449323146109,0.2,0.18,40.0,300.0,12.5,1,0.55,150.0
