time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
1.160074,-73.220000,-68.870000,6.200000,5.700000,12.000000,0.000000,-66.110000,-111.120000,4.000000,11.500000,-74.358323,-67.379255,4.186832,11.818167,1.000000,0.000000,9.141498,-13.827395
1.180069,-72.750000,-68.690000,11.400000,6.800000,23.400000,9.200000,-66.030000,-110.890000,6.700000,11.200000,-74.274607,-67.142951,6.959312,11.440363,1.000000,0.000000,19.213168,-2.618167
1.200078,-72.750000,-68.640000,7.900000,5.500000,0.000000,2.500000,-65.900000,-110.670000,5.800000,9.900000,-74.135359,-66.914040,5.960127,10.156749,1.000000,0.000000,-6.959312,-8.940363
1.220073,-72.750000,-68.480000,5.500000,6.200000,0.000000,7.900000,-65.780000,-110.470000,4.900000,9.700000,-74.016186,-66.710956,5.107647,9.833965,1.000000,0.000000,-5.960127,-2.256749
1.240080,-72.750000,-68.480000,3.900000,4.300000,0.000000,0.000000,-65.680000,-110.270000,4.200000,8.300000,-73.913997,-66.514208,4.379089,8.431242,1.000000,0.000000,-5.107647,-9.833965
1.260076,-72.660000,-68.480000,4.000000,3.000000,4.300000,0.000000,-65.600000,-110.110000,4.200000,7.100000,-73.826433,-66.345617,4.367831,7.231101,1.000000,0.000000,-0.079089,-8.431242
1.280080,-72.660000,-68.480000,2.800000,2.100000,0.000000,0.000000,-65.510000,-109.960000,4.200000,7.100000,-73.739059,-66.200966,4.367831,7.231101,0.000000,0.000000,-4.367831,-7.231101
1.300078,-72.560000,-68.770000,3.400000,-2.800000,4.700000,-14.400000,-65.420000,-109.820000,4.300000,3.700000,-73.651711,-66.056358,4.420635,3.792478,1.000000,0.000000,0.332169,-21.631101
1.320085,-72.350000,-69.290000,5.500000,-9.700000,10.600000,-26.000000,-65.340000,-109.750000,5.300000,-0.800000,-73.563267,-65.980482,5.373473,-0.801427,1.000000,0.000000,6.179365,-29.792478
1.340081,-72.020000,-69.750000,8.900000,-13.800000,16.700000,-23.200000,-65.230000,-109.760000,7.000000,-4.200000,-73.455819,-65.996508,7.081077,-4.178269,1.000000,0.000000,11.326527,-22.398573
1.360088,-72.020000,-69.750000,6.200000,-9.600000,0.000000,0.000000,-65.090000,-109.850000,6.000000,-3.500000,-73.314148,-66.080102,6.031053,-3.558690,1.000000,0.000000,-7.081077,4.178269
1.400088,-72.020000,-69.750000,3.000000,-4.700000,0.000000,0.000000,-64.870000,-109.980000,4.300000,-2.600000,-73.072906,-66.222450,5.047106,-2.978101,1.000000,0.000000,-6.031053,3.558690
3.420215,-58.980000,-78.210000,-2.400000,12.300000,0.000000,0.000000,-50.890000,-120.450000,1.400000,9.200000,-72.568195,-66.520260,3.943627,-2.326981,1.000000,0.000000,-5.047106,2.978101
1.440090,-71.960000,-69.500000,2.300000,1.300000,2.700000,12.300000,-64.700000,-110.080000,3.600000,-0.100000,-72.548477,-66.531895,3.715645,0.354433,1.000000,0.000000,-1.243627,14.626981
1.460091,-71.960000,-69.700000,1.600000,-1.900000,0.000000,-9.700000,-64.630000,-110.080000,3.000000,-1.500000,-72.474161,-66.524806,3.079296,-1.367511,1.000000,0.000000,-3.715645,-10.054433
1.480093,-71.960000,-70.130000,1.000000,-7.700000,-0.100000,-21.400000,-64.570000,-110.110000,2.600000,-4.300000,-72.412569,-66.552159,2.561394,-4.630768,1.000000,0.000000,-3.179296,-20.032489
1.500095,-71.970000,-70.770000,0.700000,-15.100000,-0.100000,-32.200000,-64.520000,-110.200000,2.200000,-8.300000,-72.361336,-66.644783,2.143566,-8.959025,1.000000,0.000000,-2.661394,-27.569232
1.520098,-71.530000,-71.110000,7.000000,-15.600000,21.700000,-16.900000,-64.470000,-110.370000,5.000000,-9.500000,-72.318458,-66.823991,5.131423,-10.172257,1.000000,0.000000,19.556434,-7.940975
1.540095,-71.530000,-71.110000,4.900000,-10.900000,0.000000,0.000000,-64.370000,-110.560000,4.200000,-8.100000,-72.215845,-67.027405,4.363043,-8.649061,1.000000,0.000000,-5.131423,10.172257
1.560097,-71.530000,-71.110000,3.400000,-7.600000,0.000000,0.000000,-64.290000,-110.720000,3.600000,-7.000000,-72.128575,-67.200404,3.719319,-7.372977,1.000000,0.000000,-4.363043,8.649061
1.580100,-71.530000,-71.110000,2.400000,-5.300000,0.000000,0.000000,-64.210000,-110.860000,3.100000,-6.000000,-72.054178,-67.347886,3.176524,-6.296969,1.000000,0.000000,-3.719319,7.372977
1.600100,-71.530000,-71.110000,1.600000,-3.700000,0.000000,0.000000,-64.150000,-110.980000,2.700000,-5.100000,-71.990647,-67.473825,2.716666,-5.385373,1.000000,0.000000,-3.176524,6.296969
1.620102,-71.540000,-71.420000,1.100000,-7.300000,-0.100000,-15.600000,-64.090000,-111.090000,2.300000,-6.600000,-71.936308,-67.581543,2.311316,-6.855372,1.000000,0.000000,-2.816666,-10.214627
1.640100,-71.540000,-71.730000,0.700000,-9.700000,-0.100000,-15.200000,-64.050000,-111.220000,1.900000,-7.800000,-71.890087,-67.718637,1.965823,-8.050989,1.000000,0.000000,-2.411316,-8.344628
1.660107,-71.540000,-72.180000,0.400000,-13.400000,-0.100000,-22.300000,-64.010000,-111.380000,1.600000,-9.900000,-71.850756,-67.879713,1.670775,-10.086087,1.000000,0.000000,-2.065823,-14.249011
1.680108,-71.160000,-72.530000,5.900000,-14.700000,18.800000,-17.700000,-63.980000,-111.570000,4.100000,-11.000000,-71.817339,-68.081445,4.111407,-11.170944,1.000000,0.000000,17.129225,-7.613913
1.700108,-71.160000,-72.530000,4.100000,-10.300000,0.000000,0.000000,-63.890000,-111.790000,3.500000,-9.400000,-71.735111,-68.304864,3.526632,-9.582075,1.000000,0.000000,-4.111407,11.170944
1.720113,-71.160000,-72.530000,2.900000,-7.200000,0.000000,0.000000,-63.820000,-111.980000,3.000000,-8.100000,-71.664561,-68.496553,3.025667,-8.220924,1.000000,0.000000,-3.526632,9.582075
1.740110,-71.160000,-72.530000,2.000000,-5.000000,0.000000,0.000000,-63.760000,-112.150000,3.000000,-8.100000,-71.604057,-68.660947,3.025667,-8.220924,0.000000,0.000000,-3.025667,8.220924
1.760116,-71.160000,-72.530000,1.400000,-3.500000,0.000000,0.000000,-63.700000,-112.310000,2.500000,-6.800000,-71.543525,-68.825415,2.545311,-6.915767,1.000000,0.000000,-3.025667,8.220924
1.780114,-71.160000,-72.530000,1.000000,-2.400000,0.000000,0.000000,-63.650000,-112.450000,2.100000,-5.700000,-71.492624,-68.963716,2.153227,-5.850451,1.000000,0.000000,-2.545311,6.915767
1.800114,-71.020000,-72.330000,2.900000,1.300000,7.300000,10.200000,-63.610000,-112.560000,2.900000,-3.300000,-71.449559,-69.080725,2.928604,-3.432403,1.000000,0.000000,5.146773,16.050451
1.840118,-70.510000,-72.830000,7.400000,-7.400000,7.500000,-30.600000,-63.450000,-112.670000,5.500000,-6.200000,-71.332404,-69.218035,3.681990,-7.909742,1.000000,0.000000,4.571396,-27.167597
1.860116,-69.800000,-73.160000,15.800000,-10.100000,35.200000,-16.500000,-63.340000,-112.800000,9.800000,-7.700000,-71.258771,-69.376214,8.672712,-9.269967,1.000000,0.000000,31.518010,-8.590258
1.900123,-69.330000,-73.170000,12.700000,-5.000000,0.000000,0.000000,-62.900000,-113.080000,10.100000,-5.700000,-70.911802,-69.747078,7.197152,-7.692792,1.000000,0.000000,-8.672712,9.269967
1.920120,-69.330000,-73.170000,8.900000,-3.500000,0.000000,0.000000,-62.700000,-113.200000,8.600000,-4.800000,-70.767880,-69.900911,6.030452,-6.445746,1.000000,0.000000,-7.197152,7.692792
1.940121,-69.330000,-73.010000,6.200000,0.000000,0.000000,8.000000,-62.530000,-113.300000,7.400000,-3.000000,-70.647265,-70.029832,5.087099,-4.185976,1.000000,0.000000,-6.030452,14.445746
1.960121,-69.330000,-73.010000,4.300000,0.000000,0.000000,0.000000,-62.380000,-113.360000,6.300000,-2.600000,-70.545523,-70.113551,4.311960,-3.548144,1.000000,0.000000,-5.087099,4.185976
1.980127,-69.010000,-72.900000,7.800000,1.400000,15.800000,5.000000,-62.250000,-113.410000,7.700000,-1.500000,-70.459258,-70.184536,6.028881,-2.270599,1.000000,0.000000,11.488040,8.548144
2.000126,-69.080000,-73.410000,4.400000,-6.400000,-3.500000,-25.100000,-62.100000,-113.440000,6.100000,-4.800000,-70.338687,-70.229945,4.625002,-5.634028,1.000000,0.000000,-9.528881,-22.829401
2.020126,-69.090000,-74.110000,2.900000,-15.000000,-0.300000,-35.000000,-61.970000,-113.540000,5.200000,-9.100000,-70.246187,-70.342626,3.907023,-9.915075,1.000000,0.000000,-4.925002,-29.365972
2.040129,-68.390000,-74.490000,12.500000,-16.200000,34.800000,-18.800000,-61.870000,-113.720000,9.400000,-10.500000,-70.168035,-70.540957,8.375858,-11.200328,1.000000,0.000000,30.892977,-8.884925
2.060129,-67.870000,-74.490000,16.600000,-11.400000,26.100000,-0.200000,-61.680000,-113.930000,11.700000,-9.000000,-70.000517,-70.764964,10.925074,-9.618180,1.000000,0.000000,17.724142,11.000328
2.080128,-67.870000,-74.490000,11.600000,-7.900000,0.000000,0.000000,-61.440000,-114.110000,10.100000,-7.700000,-69.782027,-70.957318,9.360395,-8.240673,1.000000,0.000000,-10.925074,9.618180
