cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
2.8659972065079535,1.1657353208528072,80.00400000000063,1.4291482447289625,0.35,0.35,15.0,600.0,50.0,1,0.55,150.0
2.866137865516005,1.1656783755725477,80.00400000000063,1.4297128284098493,0.35,0.35,80.0,600.0,50.0,1,0.55,150.0
2.8707128295302704,1.1697186293065964,80.00400000000063,1.4312405720676118,0.35,0.22,15.0,600.0,12.5,1,0.55,150.0
2.8729833534210663,1.1712669523063834,80.00400000000063,1.4333040031847823,0.35,0.22,40.0,600.0,12.5,1,0.55,150.0
2.8746157714031098,1.172704997944823,80.00400000000063,1.4338593527379353,0.35,0.22,15.0,600.0,25.0,1,0.55,150.0
2.8749777226612294,1.172748700991547,80.00400000000063,1.434768633341923,0.35,0.22,80.0,600.0,12.5,1,0.55,150.0
2.875103383308914,1.17290706040283,80.00400000000063,1.434675208303071,0.35,0.22,40.0,600.0,25.0,1,0.55,150.0
2.875990708874525,1.1735293515751228,80.00400000000063,1.4354324494268362,0.35,0.22,80.0,600.0,25.0,1,0.55,150.0
2.8768246705753246,1.1742306242281506,80.00400000000063,1.4358115609918987,0.35,0.22,40.0,600.0,50.0,1,0.55,150.0
2.876996015849559,1.17447819475383,80.00400000000063,1.4355937745591987,0.35,0.22,15.0,600.0,50.0,1,0.55,150.0
2.877064994520399,1.1743601762955969,80.00400000000063,1.4361280520708366,0.35,0.22,80.0,600.0,50.0,1,0.55,150.0
2.879322376009394,1.1801995403835017,80.00400000000063,1.425893816073952,0.35,0.35,15.0,600.0,12.5,1,0.35,150.0
2.8825158458589897,1.1825548136863726,80.00400000000063,1.4282886633503078,0.35,0.35,40.0,600.0,12.5,1,0.35,150.0
2.8855249329147465,1.1848915321499764,80.00400000000063,1.4302097164707444,0.35,0.35,80.0,600.0,12.5,1,0.35,150.0
2.886025355165665,1.1854796263759024,80.00400000000063,1.4299592251135809,0.35,0.35,15.0,600.0,25.0,1,0.35,150.0
2.8864736353422553,1.18566716335073,80.00400000000063,1.4307042056900459,0.35,0.35,40.0,600.0,25.0,1,0.35,150.0
2.8877554442732447,1.1866308055090375,80.00400000000063,1.4316132536119943,0.35,0.35,80.0,600.0,25.0,1,0.35,150.0
2.8894735906643856,1.1880324482532008,80.00400000000063,1.4325175497462155,0.35,0.35,40.0,600.0,50.0,1,0.35,150.0
2.889756165441753,1.1882040904217257,80.00400000000063,1.4328345000571927,0.35,0.35,80.0,600.0,50.0,1,0.35,150.0
2.8900184673887788,1.188586387401062,80.00400000000063,1.4324916571077344,0.35,0.35,15.0,600.0,50.0,1,0.35,150.0
2.894775181322462,1.1908352484187095,80.00400000000063,1.4396569511535522,0.35,0.22,15.0,600.0,12.5,1,0.35,150.0
2.8973521231115758,1.2013643356576136,80.00400000000063,1.4169365355827217,0.2,0.35,15.0,300.0,12.5,1,0.55,150.0
2.897940813489204,1.1931450129721959,80.00400000000063,1.4421022871914253,0.35,0.22,40.0,600.0,12.5,1,0.35,150.0
2.8988123971751762,1.20230718509954,80.00400000000063,1.418414891644648,0.2,0.35,40.0,300.0,12.5,1,0.55,150.0
2.900511911264299,1.1933654483155105,80.00400000000063,1.4488184655679397,0.35,0.12,15.0,600.0,12.5,1,0.55,150.0
2.9010032470431915,1.1955124017432917,80.00400000000063,1.4440881294282575,0.35,0.22,80.0,600.0,12.5,1,0.35,150.0
2.9010629742523677,1.204046369622637,80.00400000000063,1.4198760132277755,0.2,0.35,80.0,300.0,12.5,1,0.55,150.0
2.901673196781894,1.196242612532174,80.00400000000063,1.443915954999173,0.35,0.22,15.0,600.0,25.0,1,0.35,150.0
2.902035456630702,1.196353716378386,80.00400000000063,1.444633543578018,0.35,0.22,40.0,600.0,25.0,1,0.35,150.0
2.9023004008574893,1.2050969935698763,80.00400000000063,1.4204097351074392,0.2,0.35,40.0,300.0,25.0,1,0.55,150.0
2.9027907903040155,1.1948734423580334,80.00400000000063,1.4510209941313517,0.35,0.12,40.0,600.0,12.5,1,0.55,150.0
2.90300928680276,1.2055945527063063,80.00400000000063,1.421013525989841,0.2,0.35,80.0,300.0,25.0,1,0.55,150.0
2.903027892085829,1.2058773428781868,80.00400000000063,1.4202587120218075,0.2,0.35,15.0,300.0,25.0,1,0.55,150.0
2.9033167426064144,1.1973087972809178,80.00400000000063,1.4455655580728206,0.35,0.22,80.0,600.0,25.0,1,0.35,150.0
2.904685028191961,1.1965214717276527,80.00400000000063,1.451724447040854,0.35,0.12,15.0,600.0,25.0,1,0.55,150.0
2.9047664080529194,1.206999160678445,80.00400000000063,1.4220207067841861,0.2,0.35,80.0,300.0,50.0,1,0.55,150.0
2.9048674425582353,1.1963962113938005,80.00400000000063,1.4526035176126444,0.35,0.12,80.0,600.0,12.5,1,0.55,150.0
2.904876083310271,1.2071507037027114,80.00400000000063,1.4219010845929996,0.2,0.35,40.0,300.0,50.0,1,0.55,150.0
2.9051036586783274,1.1966490821369196,80.00400000000063,1.4525559329754252,0.35,0.12,40.0,600.0,25.0,1,0.55,150.0
2.905127431199513,1.19878106528541,80.00400000000063,1.4465324740402676,0.35,0.22,40.0,600.0,50.0,1,0.35,150.0
2.905385894409883,1.1989301662628546,80.00400000000063,1.446844937562911,0.35,0.22,80.0,600.0,50.0,1,0.35,150.0
2.9057503212301072,1.199395612287305,80.00400000000063,1.4465563112651212,0.35,0.22,15.0,600.0,50.0,1,0.35,150.0
2.906003318195363,1.1972649463420704,80.00400000000063,1.4533667767236667,0.35,0.12,80.0,600.0,25.0,1,0.55,150.0
2.9061135518235353,1.208269126835606,80.00400000000063,1.4222412142511995,0.2,0.35,15.0,300.0,50.0,1,0.55,150.0
2.9069524674503358,1.198056173436244,80.00400000000063,1.4538179828973776,0.35,0.12,40.0,600.0,50.0,1,0.55,150.0
2.907174179956716,1.1981634774614032,80.00400000000063,1.4541448642722967,0.35,0.12,80.0,600.0,50.0,1,0.55,150.0
2.907189210667817,1.1983592323823427,80.00400000000063,1.4536285093870436,0.35,0.12,15.0,600.0,50.0,1,0.55,150.0
